Candidate,Score,,,,
Solution,0051,,0.994439267,0.993692252,0.995186282
Solution,0052,,0.993904199,0.993142204,0.994666194
Solution,0053,,0.995429686,0.994700172,0.996159199
Solution,0054,,0.995429979,0.994700476,0.996159481
Solution,0055,,0.995529767,0.994780434,0.996279099
Solution,0056,,0.99553006,0.994780738,0.996279382
Solution,0057,,0.995488713,0.994760161,0.996217264
Solution,0058,,0.995725562,0.994998643,0.996452481
Solution,0059,,0.995429686,0.994700172,0.996159199
Solution,0060,,0.995529767,0.994780434,0.996279099
Solution,0061,,0.995529767,0.994780434,0.996279099
Solution,0062,,0.995429686,0.994700172,0.996159199
Solution,0063,,0.995529767,0.994780434,0.996279099
Solution,0064,,0.995529767,0.994780434,0.996279099
Solution,0065,,0.995529767,0.994780434,0.996279099
Solution,0066,,0.994040746,0.993131736,0.994949756
Solution,0067,,0.994144889,0.993221069,0.99506871
Solution,0068,,0.994144889,0.993221069,0.99506871
Solution,0069,,0.994144889,0.993221069,0.99506871
Solution,0070,,0.995288073,0.994554156,0.99602199
Solution,0071,,0.995403973,0.994650465,0.996157482
Solution,0072,,0.995288073,0.994554156,0.99602199
Solution,0073,,0.995403973,0.994650465,0.996157482
Solution,0074,,0.995403973,0.994650465,0.996157482
Solution,0075,,0.995288073,0.994554156,0.99602199
Solution,0076,,0.995403973,0.994650465,0.996157482
Solution,0077,,0.995403973,0.994650465,0.996157482
Solution,0078,,0.995403973,0.994650465,0.996157482
Solution,0079,,0.995785863,0.995059903,0.996511823
Solution,0080,,0.993790533,0.993039604,0.994541463
Solution,0081,,0.993790533,0.993039604,0.994541463
Solution,0082,,0.995114104,0.994380195,0.995848013
Solution,0083,,0.995114104,0.994380195,0.995848013
Solution,0084,,0.995114104,0.994380195,0.995848013
Solution,0085,,0.993752367,0.992840269,0.994664465
Solution,0086,,0.995488713,0.994760161,0.996217264
Solution,0087,,0.995800321,0.995074566,0.996526075
Solution,0088,,0.995800321,0.995074566,0.996526075
Solution,0089,,0.995800321,0.995074566,0.996526075
Solution,0090,,0.994413108,0.993506809,0.995319406
Solution,0091,,0.993413505,0.992498202,0.994328808
Solution,0092,,0.995488713,0.994760161,0.996217264
Solution,0093,,0.994093729,0.99318532,0.995002138
Solution,0094,,0.995785863,0.995059903,0.996511823
Solution,0095,,0.995525794,0.994797992,0.996253596
Solution,0096,,0.995525794,0.994797992,0.996253596
Solution,0097,,0.995785863,0.995059903,0.996511823
Solution,0098,,0.99558755,0.994839151,0.99633595
Solution,0099,,0.99558755,0.994839151,0.99633595
Solution,0100,,0.99558755,0.994839151,0.99633595
Solution,0101,,0.994210349,0.993287292,0.995133405
Solution,0102,,0.993254105,0.992322696,0.994185514
Solution,0103,,0.99558755,0.994839151,0.99633595
Solution,0104,,0.995785863,0.995059903,0.996511823
Solution,0105,,0.995785863,0.995059903,0.996511823
Solution,0106,,0.994404694,0.993498373,0.995311014
Solution,0107,,0.993404174,0.992488809,0.994319539
Solution,0108,,0.995429979,0.994700476,0.996159481
Solution,0109,,0.995429979,0.994700476,0.996159481
Solution,0110,,0.994041039,0.993132037,0.994950041
Solution,0111,,0.995785863,0.995059903,0.996511823
Solution,0112,,0.99578148,0.995055486,0.996507473
Solution,0113,,0.995771419,0.995045081,0.996497758
Solution,0114,,0.995299806,0.994566908,0.996032703
Solution,0115,,0.995417915,0.994688232,0.996147599
Solution,0116,,0.994757494,0.994018319,0.995496669
Solution,0117,,0.993890412,0.993140491,0.994640333
Solution,0118,,0.993969685,0.993221365,0.994718004
Solution,0119,,0.990911803,0.99010577,0.991717836
Solution,0120,,0.995418485,0.994688825,0.996148144
Solution,0121,,0.993973931,0.993225703,0.994722158
Solution,0122,,0.995484694,0.994756108,0.996213281
Solution,0123,,0.99518204,0.994448915,0.995915166
Solution,0124,,0.994831243,0.994091431,0.995571055
Solution,0125,,0.995346814,0.994613998,0.99607963
Solution,0126,,0.994695038,0.993951492,0.995438585
Solution,0127,,0.994298344,0.993545697,0.995050991
Solution,0128,,0.995800068,0.995074308,0.996525826
Solution,0129,,0.995514021,0.994785896,0.996242145
Solution,0130,,0.994134117,0.993388215,0.994880018
Solution,0131,,0.995633176,0.994885127,0.996381225
Solution,0132,,0.994643868,0.993883923,0.995403814
Solution,0133,,0.99541852,0.994666019,0.996171021
Solution,0134,,0.994388349,0.993624723,0.995151974
Solution,0135,,0.991394952,0.990583429,0.992206475
Solution,0136,,0.995633176,0.994885127,0.996381225
Solution,0137,,0.994643868,0.993883923,0.995403814
Solution,0138,,0.99541852,0.994666019,0.996171021
Solution,0139,,0.994388349,0.993624723,0.995151974
Solution,0140,,0.991394952,0.990583429,0.992206475
Solution,0141,,0.995633176,0.994885127,0.996381225
Solution,0142,,0.994643868,0.993883923,0.995403814
Solution,0143,,0.99541852,0.994666019,0.996171021
Solution,0144,,0.994388349,0.993624723,0.995151974
Solution,0145,,0.991394952,0.990583429,0.992206475
Solution,0146,,0.99428687,0.993364224,0.995209515
Solution,0147,,0.993221661,0.992289933,0.994153389
Solution,0148,,0.993239753,0.992308166,0.99417134
Solution,0149,,0.992214869,0.991262766,0.993166972
Solution,0150,,0.994074026,0.993147907,0.995000145
Solution,0151,,0.993097494,0.992163482,0.994031506
Solution,0152,,0.99305967,0.992125696,0.993993643
Solution,0153,,0.992053873,0.991099807,0.993007938
Solution,0154,,0.990064773,0.98909345,0.991036096
Solution,0155,,0.990103583,0.989133136,0.99107403
Solution,0156,,0.995627014,0.994879102,0.996374926
Solution,0157,,0.995544631,0.994795383,0.996293879
Solution,0158,,0.99447419,0.99371223,0.995236149
Solution,0159,,0.995545201,0.994795976,0.996294426
Solution,0160,,0.994478436,0.993716566,0.995240305
Solution,0161,,0.995627014,0.994879102,0.996374926
Solution,0162,,0.995627014,0.994879102,0.996374926
Solution,0163,,0.995544631,0.994795383,0.996293879
Solution,0164,,0.99447419,0.99371223,0.995236149
Solution,0165,,0.995545201,0.994795976,0.996294426
Solution,0166,,0.994478436,0.993716566,0.995240305
Solution,0167,,0.995544631,0.994795383,0.996293879
Solution,0168,,0.99447419,0.99371223,0.995236149
Solution,0169,,0.995545201,0.994795976,0.996294426
Solution,0170,,0.994478436,0.993716566,0.995240305
Solution,0171,,0.994250142,0.993327465,0.995172819
Solution,0172,,0.993246459,0.99231487,0.994178047
Solution,0173,,0.994198325,0.993274755,0.995121895
Solution,0174,,0.993184904,0.992252669,0.994117139
Solution,0175,,0.993147532,0.992214875,0.994080189
Solution,0176,,0.992137627,0.991184931,0.993090323
Solution,0177,,0.994198894,0.993275343,0.995122446
Solution,0178,,0.993185197,0.99225297,0.994117424
Solution,0179,,0.993151778,0.992219192,0.994084363
Solution,0180,,0.99213792,0.99118523,0.993090609
Solution,0181,,0.99558755,0.994839151,0.99633595
Solution,0182,,0.99558755,0.994839151,0.99633595
Solution,0183,,0.994210349,0.993287292,0.995133405
Solution,0184,,0.993254105,0.992322696,0.994185514
Solution,0185,,0.995721538,0.994994588,0.996448489
Solution,0186,,0.995482659,0.99475363,0.996211688
Solution,0187,,0.995469553,0.994740524,0.996198583
Solution,0188,,0.995721538,0.994994588,0.996448489
Solution,0189,,0.995721538,0.994994588,0.996448489
Solution,0190,,0.995482659,0.99475363,0.996211688
Solution,0191,,0.995469553,0.994740524,0.996198583
Solution,0192,,0.995482659,0.99475363,0.996211688
Solution,0193,,0.995469553,0.994740524,0.996198583
Solution,0194,,0.994332736,0.99342561,0.995239862
Solution,0195,,0.994089929,0.993181415,0.994998443
Solution,0196,,0.994049102,0.993139951,0.994958254
Solution,0197,,0.995595396,0.99486408,0.996326712
Solution,0198,,0.995390864,0.99465872,0.996123007
Solution,0199,,0.995319653,0.994588188,0.996051119
Solution,0200,,0.995595396,0.99486408,0.996326712
Solution,0201,,0.995595396,0.99486408,0.996326712
Solution,0202,,0.995390864,0.99465872,0.996123007
Solution,0203,,0.995319653,0.994588188,0.996051119
Solution,0204,,0.995390864,0.99465872,0.996123007
Solution,0205,,0.995319653,0.994588188,0.996051119
Solution,0206,,0.995784891,0.995058796,0.996510986
Solution,0207,,0.992444224,0.991519397,0.993369051
Solution,0208,,0.993402501,0.992487137,0.994317866
Solution,0209,,0.994154009,0.993246316,0.995061702
Solution,0210,,0.995525794,0.994797992,0.996253596
Solution,0211,,0.995177629,0.994444716,0.995910541
Solution,0212,,0.994962132,0.994226431,0.995697833
Solution,0213,,0.995177629,0.994444716,0.995910541
Solution,0214,,0.994962132,0.994226431,0.995697833
Solution,0215,,0.995177629,0.994444716,0.995910541
Solution,0216,,0.994962132,0.994226431,0.995697833
Solution,0217,,0.993790533,0.993039604,0.994541463
Solution,0218,,0.993798073,0.9928865,0.994709646
Solution,0219,,0.993615823,0.992702538,0.994529107
Solution,0220,,0.994646993,0.99390255,0.995391436
Solution,0221,,0.994439267,0.993692252,0.995186282
Solution,0222,,0.993904199,0.993142204,0.994666194
Solution,0223,,0.993234422,0.992472293,0.993996551
Solution,0224,,0.992707124,0.99193088,0.993483369
Solution,0225,,0.992440941,0.991659695,0.993222186
Solution,0226,,0.994646993,0.99390255,0.995391436
Solution,0227,,0.994439267,0.993692252,0.995186282
Solution,0228,,0.993904199,0.993142204,0.994666194
Solution,0229,,0.993234422,0.992472293,0.993996551
Solution,0230,,0.992707124,0.99193088,0.993483369
Solution,0231,,0.992440941,0.991659695,0.993222186
Solution,0232,,0.994646993,0.99390255,0.995391436
Solution,0233,,0.994439267,0.993692252,0.995186282
Solution,0234,,0.993904199,0.993142204,0.994666194
Solution,0235,,0.993234422,0.992472293,0.993996551
Solution,0236,,0.992440941,0.991659695,0.993222186
Solution,0237,,0.992707124,0.99193088,0.993483369
Solution,0238,,0.995525302,0.994797602,0.996253002
Solution,0239,,0.995525302,0.994797602,0.996253002
Solution,0240,,0.995616239,0.994867863,0.996364615
Solution,0241,,0.994628001,0.99386759,0.995388413
Solution,0242,,0.995401699,0.994648875,0.996154522
Solution,0243,,0.993829517,0.993056374,0.99460266
Solution,0244,,0.994372951,0.99360887,0.995137033
Solution,0245,,0.991384783,0.99057296,0.992196605
Solution,0246,,0.990901173,0.990090904,0.991711442
Solution,0247,,0.987823694,0.986934766,0.988712623
Solution,0248,,0.985784735,0.984862099,0.986707371
Solution,0249,,0.995616239,0.994867863,0.996364615
Solution,0250,,0.994628001,0.99386759,0.995388413
Solution,0251,,0.995401699,0.994648875,0.996154522
Solution,0252,,0.993829517,0.993056374,0.99460266
Solution,0253,,0.994372951,0.99360887,0.995137033
Solution,0254,,0.990901173,0.990090904,0.991711442
Solution,0255,,0.991384783,0.99057296,0.992196605
Solution,0256,,0.987823694,0.986934766,0.988712623
Solution,0257,,0.985784735,0.984862099,0.986707371
Solution,0258,,0.995616239,0.994867863,0.996364615
Solution,0259,,0.994628001,0.99386759,0.995388413
Solution,0260,,0.995401699,0.994648875,0.996154522
Solution,0261,,0.993829517,0.993056374,0.99460266
Solution,0262,,0.994372951,0.99360887,0.995137033
Solution,0263,,0.990901173,0.990090904,0.991711442
Solution,0264,,0.991384783,0.99057296,0.992196605
Solution,0265,,0.987823694,0.986934766,0.988712623
Solution,0266,,0.985784735,0.984862099,0.986707371
Solution,0267,,0.993211757,0.99227995,0.994143563
Solution,0268,,0.994275898,0.993353129,0.995198668
Solution,0269,,0.992205113,0.991252851,0.993157374
Solution,0270,,0.993229617,0.992297824,0.99416141
Solution,0271,,0.993087705,0.992153617,0.994021793
Solution,0272,,0.992858093,0.991917643,0.993798544
Solution,0273,,0.99406317,0.993136929,0.994989411
Solution,0274,,0.992568446,0.991627094,0.993509797
Solution,0275,,0.992044206,0.991089984,0.992998428
Solution,0276,,0.989889799,0.988914177,0.99086542
Solution,0277,,0.993050003,0.992115829,0.993984177
Solution,0278,,0.989585344,0.988616346,0.990554342
Solution,0279,,0.99009976,0.989129247,0.991070273
Solution,0280,,0.987800769,0.986787836,0.988813701
Solution,0281,,0.985702384,0.984659617,0.986745151
Solution,0282,,0.99006057,0.989089155,0.991031984
Solution,0283,,0.98649914,0.985464062,0.987534218
Solution,0284,,0.984456895,0.983394485,0.985519305
Solution,0285,,0.995609568,0.994861322,0.996357814
Solution,0286,,0.995527768,0.994778195,0.996277341
Solution,0287,,0.994458408,0.993695984,0.995220832
Solution,0288,,0.993965024,0.993197579,0.994732468
Solution,0289,,0.991122294,0.990318745,0.991925843
Solution,0290,,0.988113279,0.987229873,0.988996684
Solution,0291,,0.995528337,0.994778787,0.996277887
Solution,0292,,0.994462654,0.99370032,0.995224988
Solution,0293,,0.993974813,0.993207658,0.994741969
Solution,0294,,0.991135163,0.990331857,0.991938469
Solution,0295,,0.988256606,0.987375303,0.989137909
Solution,0296,,0.995609568,0.994861322,0.996357814
Solution,0297,,0.995609568,0.994861322,0.996357814
Solution,0298,,0.995527768,0.994778195,0.996277341
Solution,0299,,0.994458408,0.993695984,0.995220832
Solution,0300,,0.993965024,0.993197579,0.994732468
Solution,0301,,0.991122294,0.990318745,0.991925843
Solution,0302,,0.988113279,0.987229873,0.988996684
Solution,0303,,0.995528337,0.994778787,0.996277887
Solution,0304,,0.994462654,0.99370032,0.995224988
Solution,0305,,0.993974813,0.993207658,0.994741969
Solution,0306,,0.991135163,0.990331857,0.991938469
Solution,0307,,0.988256606,0.987375303,0.989137909
Solution,0308,,0.995527768,0.994778195,0.996277341
Solution,0309,,0.994458408,0.993695984,0.995220832
Solution,0310,,0.993965024,0.993197579,0.994732468
Solution,0311,,0.991122294,0.990318745,0.991925843
Solution,0312,,0.988113279,0.987229873,0.988996684
Solution,0313,,0.995528337,0.994778787,0.996277887
Solution,0314,,0.994462654,0.99370032,0.995224988
Solution,0315,,0.993974813,0.993207658,0.994741969
Solution,0316,,0.991135163,0.990331857,0.991938469
Solution,0317,,0.988256606,0.987375303,0.989137909
Solution,0318,,0.993236425,0.992304757,0.994168093
Solution,0319,,0.994238661,0.993315855,0.995161468
Solution,0320,,0.993175073,0.992242761,0.994107385
Solution,0321,,0.994187427,0.993263735,0.99511112
Solution,0322,,0.992127956,0.991175103,0.993080809
Solution,0323,,0.993137481,0.992204617,0.994070344
Solution,0324,,0.993001998,0.992066488,0.993937508
Solution,0325,,0.992703952,0.991767208,0.993640696
Solution,0326,,0.990021581,0.989049594,0.990993567
Solution,0327,,0.989804983,0.988841452,0.990768514
Solution,0328,,0.988016956,0.987008147,0.989025764
Solution,0329,,0.986711608,0.985680283,0.987742933
Solution,0330,,0.993175366,0.992243061,0.99410767
Solution,0331,,0.994187996,0.993264322,0.995111671
Solution,0332,,0.992128249,0.991175403,0.993081095
Solution,0333,,0.993141727,0.992208935,0.994074519
Solution,0334,,0.993008111,0.992072768,0.993943454
Solution,0335,,0.992713742,0.991777229,0.993650255
Solution,0336,,0.990028812,0.989056951,0.991000673
Solution,0337,,0.989812214,0.98884882,0.990775609
Solution,0338,,0.98816396,0.987157005,0.989170914
Solution,0339,,0.986854935,0.985825292,0.987884578
Solution,0340,,0.994052774,0.993288227,0.994817321
Solution,0341,,0.99119904,0.990397089,0.992000991
Solution,0342,,0.994052774,0.993288227,0.994817321
Solution,0343,,0.99119904,0.990397089,0.992000991
Solution,0344,,0.994052774,0.993288227,0.994817321
Solution,0345,,0.99119904,0.990397089,0.992000991
Solution,0346,,0.993047883,0.992113565,0.9939822
Solution,0347,,0.99279022,0.991855774,0.993724665
Solution,0348,,0.990100411,0.989129914,0.991070907
Solution,0349,,0.989884079,0.988921864,0.990846295
Solution,0350,,0.995570092,0.994821357,0.996318826
Solution,0351,,0.994134618,0.993372168,0.994897067
Solution,0352,,0.994060005,0.993295638,0.994824372
Solution,0353,,0.991211909,0.990410172,0.992013645
Solution,0354,,0.995570092,0.994821357,0.996318826
Solution,0355,,0.994134618,0.993372168,0.994897067
Solution,0356,,0.995570092,0.994821357,0.996318826
Solution,0357,,0.994134618,0.993372168,0.994897067
Solution,0358,,0.994060005,0.993295638,0.994824372
Solution,0359,,0.991211909,0.990410172,0.992013645
Solution,0360,,0.994060005,0.993295638,0.994824372
Solution,0361,,0.991211909,0.990410172,0.992013645
Solution,0362,,0.993244059,0.992312571,0.994175548
Solution,0363,,0.994198856,0.993275669,0.995122043
Solution,0364,,0.993163718,0.992231506,0.994095931
Solution,0365,,0.992840839,0.991907797,0.993773881
Solution,0366,,0.993051454,0.992117222,0.993985685
Solution,0367,,0.992797451,0.99186315,0.993731753
Solution,0368,,0.990107658,0.989137265,0.991078051
Solution,0369,,0.989891311,0.988929208,0.990853414
Solution,0370,,0.995570092,0.994821357,0.996318826
Solution,0371,,0.994134911,0.993372475,0.994897347
Solution,0372,,0.994134911,0.993372475,0.994897347
Solution,0373,,0.994060575,0.993296234,0.994824916
Solution,0374,,0.991216155,0.990414516,0.992017793
Solution,0375,,0.995570092,0.994821357,0.996318826
Solution,0376,,0.994134911,0.993372475,0.994897347
Solution,0377,,0.994134911,0.993372475,0.994897347
Solution,0378,,0.995570092,0.994821357,0.996318826
Solution,0379,,0.994134911,0.993372475,0.994897347
Solution,0380,,0.994134911,0.993372475,0.994897347
Solution,0381,,0.994060575,0.993296234,0.994824916
Solution,0382,,0.991216155,0.990414516,0.992017793
Solution,0383,,0.994060575,0.993296234,0.994824916
Solution,0384,,0.991216155,0.990414516,0.992017793
Solution,0385,,0.993244059,0.992312571,0.994175548
Solution,0386,,0.994198856,0.993275669,0.995122043
Solution,0387,,0.993163718,0.992231506,0.994095931
Solution,0388,,0.993163718,0.992231506,0.994095931
Solution,0389,,0.992841132,0.9919081,0.993774163
Solution,0390,,0.992841132,0.9919081,0.993774163
Solution,0391,,0.993051747,0.992117524,0.993985969
Solution,0392,,0.992798021,0.99186374,0.993732301
Solution,0393,,0.990107951,0.989137565,0.991078337
Solution,0394,,0.989895557,0.988933533,0.990857581
Solution,0395,,0.995780494,0.995054366,0.996506622
Solution,0396,,0.995771419,0.995045081,0.996497758
Solution,0397,,0.994757494,0.994018319,0.995496669
Solution,0398,,0.995299806,0.994566908,0.996032703
Solution,0399,,0.993890412,0.993140491,0.994640333
Solution,0400,,0.990911803,0.99010577,0.991717836
Solution,0401,,0.995780494,0.995054366,0.996506622
Solution,0402,,0.995780494,0.995054366,0.996506622
Solution,0403,,0.995771419,0.995045081,0.996497758
Solution,0404,,0.994757494,0.994018319,0.995496669
Solution,0405,,0.995299806,0.994566908,0.996032703
Solution,0406,,0.993890412,0.993140491,0.994640333
Solution,0407,,0.990911803,0.99010577,0.991717836
Solution,0408,,0.995771419,0.995045081,0.996497758
Solution,0409,,0.994757494,0.994018319,0.995496669
Solution,0410,,0.995299806,0.994566908,0.996032703
Solution,0411,,0.993890412,0.993140491,0.994640333
Solution,0412,,0.990911803,0.99010577,0.991717836
Solution,0413,,0.993399677,0.992484229,0.994315124
Solution,0414,,0.994399697,0.993493249,0.995306145
Solution,0415,,0.993370542,0.992454898,0.994286186
Solution,0416,,0.994421423,0.993514963,0.995327883
Solution,0417,,0.992349422,0.991412858,0.993285986
Solution,0418,,0.993368807,0.992452983,0.99428463
Solution,0419,,0.993242459,0.992324441,0.994160476
Solution,0420,,0.993967284,0.993055962,0.994878606
Solution,0421,,0.991798209,0.990856615,0.992739803
Solution,0422,,0.992561733,0.99163841,0.993485056
Solution,0423,,0.989856243,0.988893785,0.990818701
Solution,0424,,0.989565726,0.98859798,0.990533472
Solution,0425,,0.995715695,0.994988672,0.996442717
Solution,0426,,0.995477221,0.994748121,0.99620632
Solution,0427,,0.995459409,0.994730205,0.996188612
Solution,0428,,0.993978278,0.993229569,0.994726986
Solution,0429,,0.993617942,0.992863048,0.994372835
Solution,0430,,0.990599181,0.989795541,0.991402821
Solution,0431,,0.995715695,0.994988672,0.996442717
Solution,0432,,0.995715695,0.994988672,0.996442717
Solution,0433,,0.995477221,0.994748121,0.99620632
Solution,0434,,0.995459409,0.994730205,0.996188612
Solution,0435,,0.993978278,0.993229569,0.994726986
Solution,0436,,0.993617942,0.992863048,0.994372835
Solution,0437,,0.990599181,0.989795541,0.991402821
Solution,0438,,0.995477221,0.994748121,0.99620632
Solution,0439,,0.995459409,0.994730205,0.996188612
Solution,0440,,0.993978278,0.993229569,0.994726986
Solution,0441,,0.993617942,0.992863048,0.994372835
Solution,0442,,0.990599181,0.989795541,0.991402821
Solution,0443,,0.994327128,0.99341995,0.995234305
Solution,0444,,0.994084726,0.99317616,0.994993291
Solution,0445,,0.994038958,0.993129676,0.994948239
Solution,0446,,0.992635021,0.991711946,0.993558094
Solution,0447,,0.992289263,0.991361286,0.993217239
Solution,0448,,0.98926384,0.988299082,0.990228597
Solution,0449,,0.995583587,0.994852088,0.996315086
Solution,0450,,0.99537946,0.994647134,0.996111786
Solution,0451,,0.995303778,0.994571979,0.996035578
Solution,0452,,0.993420267,0.992660752,0.994179781
Solution,0453,,0.993073483,0.992305344,0.993841622
Solution,0454,,0.990102302,0.989284366,0.990920238
Solution,0455,,0.995583587,0.994852088,0.996315086
Solution,0456,,0.995583587,0.994852088,0.996315086
Solution,0457,,0.99537946,0.994647134,0.996111786
Solution,0458,,0.995303778,0.994571979,0.996035578
Solution,0459,,0.993420267,0.992660752,0.994179781
Solution,0460,,0.993073483,0.992305344,0.993841622
Solution,0461,,0.990102302,0.989284366,0.990920238
Solution,0462,,0.99537946,0.994647134,0.996111786
Solution,0463,,0.995303778,0.994571979,0.996035578
Solution,0464,,0.993420267,0.992660752,0.994179781
Solution,0465,,0.993073483,0.992305344,0.993841622
Solution,0466,,0.990102302,0.989284366,0.990920238
Solution,0467,,0.99578148,0.995055486,0.996507473
Solution,0468,,0.995465985,0.99473732,0.996194651
Solution,0469,,0.995417915,0.994688232,0.996147599
Solution,0470,,0.993969685,0.993221365,0.994718004
Solution,0471,,0.99578148,0.995055486,0.996507473
Solution,0472,,0.995465985,0.99473732,0.996194651
Solution,0473,,0.99578148,0.995055486,0.996507473
Solution,0474,,0.995465985,0.99473732,0.996194651
Solution,0475,,0.995417915,0.994688232,0.996147599
Solution,0476,,0.993969685,0.993221365,0.994718004
Solution,0477,,0.995417915,0.994688232,0.996147599
Solution,0478,,0.993969685,0.993221365,0.994718004
Solution,0479,,0.993403791,0.992488422,0.994319159
Solution,0480,,0.994400545,0.993494202,0.995306889
Solution,0481,,0.993396592,0.992481265,0.994311918
Solution,0482,,0.994100522,0.993192302,0.995008741
Solution,0483,,0.993321702,0.992405374,0.99423803
Solution,0484,,0.994083719,0.993174892,0.994992546
Solution,0485,,0.9918756,0.990935315,0.992815885
Solution,0486,,0.992642929,0.991720868,0.99356499
Solution,0487,,0.995423856,0.994694264,0.996153447
Solution,0488,,0.994039635,0.993293002,0.994786268
Solution,0489,,0.994066255,0.993320221,0.994812288
Solution,0490,,0.993683151,0.99293068,0.994435621
Solution,0491,,0.995423856,0.994694264,0.996153447
Solution,0492,,0.994039635,0.993293002,0.994786268
Solution,0493,,0.995423856,0.994694264,0.996153447
Solution,0494,,0.994039635,0.993293002,0.994786268
Solution,0495,,0.994066255,0.993320221,0.994812288
Solution,0496,,0.993683151,0.99293068,0.994435621
Solution,0497,,0.994066255,0.993320221,0.994812288
Solution,0498,,0.993683151,0.99293068,0.994435621
Solution,0499,,0.994035151,0.993126084,0.994944218
Solution,0500,,0.992666401,0.991744542,0.99358826
Solution,0501,,0.992689559,0.991768303,0.993610815
Solution,0502,,0.992324632,0.99139833,0.993250933
Solution,0503,,0.995276277,0.994542172,0.996010382
Solution,0504,,0.993431228,0.992672748,0.994189708
Solution,0505,,0.99350761,0.992750741,0.99426448
Solution,0506,,0.993138457,0.992372634,0.99390428
Solution,0507,,0.995276277,0.994542172,0.996010382
Solution,0508,,0.993431228,0.992672748,0.994189708
Solution,0509,,0.995276277,0.994542172,0.996010382
Solution,0510,,0.993431228,0.992672748,0.994189708
Solution,0511,,0.99350761,0.992750741,0.99426448
Solution,0512,,0.993138457,0.992372634,0.99390428
Solution,0513,,0.99350761,0.992750741,0.99426448
Solution,0514,,0.993138457,0.992372634,0.99390428
Solution,0515,,0.99578148,0.995055486,0.996507473
Solution,0516,,0.995466278,0.994737623,0.996194933
Solution,0517,,0.995466278,0.994737623,0.996194933
Solution,0518,,0.995800068,0.995074308,0.996525826
Solution,0519,,0.995418485,0.994688825,0.996148144
Solution,0520,,0.993973931,0.993225703,0.994722158
Solution,0521,,0.995514021,0.994785896,0.996242145
Solution,0522,,0.994134117,0.993388215,0.994880018
Solution,0523,,0.99578148,0.995055486,0.996507473
Solution,0524,,0.995466278,0.994737623,0.996194933
Solution,0525,,0.995466278,0.994737623,0.996194933
Solution,0526,,0.995800068,0.995074308,0.996525826
Solution,0527,,0.995525302,0.994797602,0.996253002
Solution,0528,,0.995525302,0.994797602,0.996253002
Solution,0529,,0.99578148,0.995055486,0.996507473
Solution,0530,,0.995466278,0.994737623,0.996194933
Solution,0531,,0.995466278,0.994737623,0.996194933
Solution,0532,,0.995800068,0.995074308,0.996525826
Solution,0533,,0.995525302,0.994797602,0.996253002
Solution,0534,,0.995525302,0.994797602,0.996253002
Solution,0535,,0.995418485,0.994688825,0.996148144
Solution,0536,,0.993973931,0.993225703,0.994722158
Solution,0537,,0.995514021,0.994785896,0.996242145
